项 属于 机械 原理 基础 理论 机械 设计 机械 制造 工艺 发明 提出 了无 磨损 旋转 运动 副 机械 原理 理论 定义 可行性 技术 条件 通用 机床 保证 达到 技术 条件 加工 工艺 发明 应 广泛 用于 机械 原理 教学 机械 设计 机械 制造 	移动
种 工业 合成 石 薄板 振动机 包括 机架 安装 所述 机架 底部 底座 安装 所述 机架 振动 系统 带动 所述 振动 系统 升降 提升 装置 所述 底座 具有 载料区 所述 振动 系统 作用 所述 底座 载料区 所述 振动 系统 包括 振动 块 安装 所述 振动 块 下部 振动器 所述 振动 块 重量 施加 所述 振动器 所述 振动 块 所述 振动器 一起 振动 共同 作用 所述 底座 载料 区上 发明 能够 产生 高频 强大 振动力 使 物料 形成 高强度 高密度 合成 石板材 能够 减少 粘合剂 使用量 整个 设备 结杓 简单 运行 稳定 生产 效率 高 	移动
方案 总 脚踏 驱动器 钢丝绳 力柄 飞轮 力柄 回位 弹簧 组成 脚踏 驱动器 脚 踏板 滚轮 支座 两 侧边 小 滚轮 两 横向 滚轮 滚轮 支座 滑到 固定 滑到 定滑轮 构成 力柄 飞轮 安装 后轮 轴上 结构 普通 自行车 飞轮 内部 相同 外部 外牙 改为 力柄 脚踏 作用力 钢丝绳 脚踏 驱动器 力柄 飞轮 带动 后轮 转动 力柄 回位 弹簧 起到 力柄 脚踏板 复位 功能 	移动
种 两 节 式 升高 出水 装置 升降 龙头 接水 盘 升降 液压缸 排水 液压 缸 接触 式 开关 阀 组成 升降 龙头 升降 活塞杆 升降 活塞 组成 升降 活塞 套 置于 排水 液压 缸 接水 盘 下部 设 套管 套管 套 接在 升降 活塞杆 一起 升降 相对 滑动 升降 活塞杆 设有 接触 开关 接触 开关 水龙头 升到 最高 位 时 导通 进水 水路 水管 排水 液压 缸 升降 液压缸 形成 水路 连接 设有 排水 装置 发明 利用 水压 驱动 升降 龙头 接水 盘 分 阶段 向上 升起 接触 开关 水龙头 升到 顶时 导通 水龙头 出水 此时 排水 液压 缸 排水 装置 内水 排出 关闭 主控 开关 后 水龙头 接水 盘 重力 弹簧 作用 下下降 接触 开关 关闭 水龙头 出水 排水 液压 缸 排水 装置 作用 下 容积 增大 令 升降 液压缸 水流 回到 排水 液压 缸 水龙头 压力 实现 水龙头 下降 过程 中 不出水 液压 缸 中 水 排出 	移动
种 转动 切菜 机 电动机 带动 轴 轴上 套装 种 切菜刀 绞肉 刀 刷子 熟肉 生肉 绞肉 快速 鱼鳞 厨用 转动 切菜 机 	移动
风 幕 保洁 油烟 机 涉及 种 具有 拆卸 厨房 净化 装置 特别 具有 风幕 对抗 保洁 回风 幕 防 烟雾 扩散 油烟 多层 过滤 净化 无动力 排风 装置 包括 油烟 机体 风扇 集油杯 油烟 净化 过滤器 油 烟气 幕 对抗 保洁网 峰顶 气 幕 对抗 保洁网 油 烟气 幕 对抗 保洁 网均 气罩 无 扩散 油烟 分 流体 阻风 控制 门等 电器 控制 电路 种 风幕 保洁 油烟 机 气流 动 力学 原理 利用 气流 对抗 方式 解决 实现 油烟 机不粘油 无 油烟 扩散 无动力 夏 排风 冬 制暖 无 污染 无公害 清洗 	移动
种 高效 转子 式稠 油泵 同步 轮 装 转子 轴 上面 偏心 装在 定子 滑 片 装 环形 槽内 并用 螺丝 固定 滑板 装在 滑 片 槽内 弹簧 支撑 定子 装在 壳体 定子 有孔 壳体 支腿 支承 并用 螺栓 固定 地面 底座 上面 定子 中心 线下 半部 设置 夹层 壳体 下部 装有 电 预热 装置 泵 运转 时 同步 轮 作用 滑 片 往复 运动 同步 轮 作用 使 滑片 受力 均匀 产生 吸 性能 好 排 吸 量大 外输 压力 高 脉冲 小 扬程 高 扬程 流量 无关 达到 泵转子 滑板 定子 表面 磨损 自动 补偿 延长 使用 寿命 保证 工作 效率 降低 电 预热 装置 壳体 夹层 注入 特定 油脂 迅速 加热 保证 凝油 快速 溶化 吸排 油 顺利 进行 	移动
发明 公开 种 用于 抵消 反作用力 设备 反作用力 传递 到沿 移动 体 移动 方向 相同 方向 移动 质量 体 反作用力 转换 用于 移动 质量 体 能量 设备 抵消 传输 系统 移动 体 移动 产生 反作用力 简化 使用 种 设备 传送 系统 结构 传送 系统 移动 体 移动 方向 方向 移动 时 能够 抵消 移动 体 移动 产生 反作用力 	移动
实用 新型 提供 种 节能 环保型 真空 节能 锅 锅口 锅壁 锅底 部分 组成 锅壁 加工 成 双层 中间 空隙 处 抽成 真空 锅底 采用 凹凸 平面 线条 呈 弯曲 放射状 分布 锅底 面积 大于 等于 锅口 实用 新型 优点 在于 减少 能耗 减少 碳 排放 	移动
发明 涉及 家用 电器 技术 领域 特指 种 采用 加热器 散热器 微循环 系统 随意 调节 床垫 温度 达到 冷暖 两 床垫 发明 包括 电源 开关 稳压器 温控器 加热器 储液箱 水 散热器 双向 阀门 潜水泵 传液 打搅 奶油状 明胶 采用 上述 结构 后 明胶 传液 凝结 成 床垫 利用 温控器 储液箱 散热器 传液 潜水泵 需要 温度 传送 床垫 达到 床垫 冷暖 两 目的 	移动
